Table 3A. Higher Education Enrollment and Graduates in State Universities and Colleges,,,,,,,,,
Region,SUC Name,,Enrollment,,,Graduates,,,
,,,2017-18,2018-19,2019-20,2016-17,2017-18,2018-19,
Ilocos Region,Don Mariano Marcos Memorial State University,,"13,320","13,533","13,802","3,523","3,569","2,654",
,Ilocos Sur Polytechnic State College,,"4,782","4,889","8,362",516,624,"1,659",
,Mariano Marcos State University,,"8,247","7,979","9,487","3,779","2,934","3,249",
,North Luzon Philippines State College,,"2,147","2,371","2,748",644,728,755,
,Pangasinan State University,,"18,495","20,355","20,584","4,503","5,556","6,519",
,University of Northern Philippines,,"9,446","7,037","7,038","3,105","3,030","3,079",
Cagayan Valley,Batanes State College,,268,698,393,44,44,108,
,Cagayan State University,,"25,056","21,914","22,855","5,077","4,384","5,696",
,Isabela State University,,"22,371","22,038","29,513","7,225","5,524","7,498",
,Nueva Vizcaya State University,,"8,135","9,143","9,538","1,694","1,542","1,694",
,Quirino State University,,"3,626","3,800","3,541",788,943,467,
Central Luzon,Aurora State College of Technology,,"1,682","2,498","2,873",750,572,609,
,Bataan Peninsula State University,,"12,114","12,108","12,126","2,949","3,342","3,203",
,Bulacan Agricultural State College,,"2,740","3,409","3,784",732,791,945,
,Bulacan State University,,"34,632","33,718","36,955","11,642","9,371","12,580",
,Central Luzon State University,,"8,698","9,628","10,427","2,409","2,595","2,885",
,Don Honorio Ventura Technological State University,,"14,869","20,536","24,905","4,768","3,188","4,463",
,Nueva Ecija University of Science and Technology,,"20,216","24,391","22,597","4,217","5,460","4,534",
,Pampanga State Agricultural University,,"4,056","4,557","5,144","1,043","1,207","1,402",
,Philippine Merchant Marine Academy,,929,775,"1,104",243,-,182,
,President Ramon Magsaysay State University,,"7,156","8,693","10,513","2,073","2,047","1,872",
,Tarlac Agricultural University,,"3,019","4,042","5,210",929,"1,072","1,034",
,Tarlac State University,,"13,504","16,593","16,528","2,669","3,690","4,427",
CALABARZON,Batangas State University,,"27,246","40,431","33,076","5,159","9,542","7,312",
,Cavite State University,,"32,693","40,819","43,634","6,590","7,239","8,897",
,Laguna State Polytechnic University,,"21,326","23,040","24,248","6,326","5,780","6,636",
,Southern Luzon State University,,"11,465","8,309","7,303","3,686","4,385","3,954",
,University of Rizal System,,"15,638","15,811","18,663","5,049","5,103","5,970",
Bicol Region,Bicol State College of Applied Sciences and Technology,,"4,176","3,981","3,673",713,874,"1,212",
,Bicol University,,"16,277","15,947","17,569","7,422","6,987","7,287",
,Camarines Norte State College,,"5,280","5,297","6,282","1,307","1,288","1,708",
,Camarines Sur Polytechnic Colleges,,"3,554","5,122","3,478","3,416","3,458","2,355",
,Catanduanes State University,,"5,759","6,551","6,450","1,777","1,781","2,233",
,Central Bicol State University of Agriculture,,"9,221","9,499","9,312","1,730","2,375","2,549",
,"Dr. Emilio B. Espinosa, Sr. Memorial State College of Agriculture and T",,"4,101","4,619","4,659",886,"1,345",761,
,Partido State University,,"5,853","5,579","5,200","2,232","2,864","2,141",
,Sorsogon State College,,"7,201","7,634","9,465","1,537","1,621","1,985",
Western Visayas,Aklan State University,,"6,165","6,566","6,984","2,239","2,958","2,841",
,Capiz State University,,"10,628","12,883","13,974","3,387","3,298","3,480",
,Carlos Hilado Memorial State College,,"11,285","10,187","10,310","2,666","3,055","3,473",
,Central Philippines State University,,"9,809","11,627","10,878","1,327","1,988","2,534",
,Guimaras State College,,"2,632","4,770","3,869",559,"1,207","1,105",
,Iloilo Science and Technology University,,"10,224","11,102","11,676","2,380","2,978","3,618",
,Iloilo State College of Fisheries,,"3,946","4,650","4,839",816,885,"1,473",
,Northern Iloilo Polytechnic State College,,"7,135","7,971","8,787","2,524","1,395","1,480",
,Northern Negros State College of Science and Technology,,"5,117","7,310","8,066",775,"1,633","1,751",
,University of Antique,,"9,547","11,395","11,904","2,132","2,435","2,673",
,West Visayas State University,,"15,587","13,769","12,641","5,241","4,550","5,434",
Central Visayas,Bohol Island State University,,"13,784","16,170","15,417","3,342","4,185","4,287",
,Cebu Normal University,,"7,165","6,913","6,675","2,375","2,730","2,272",
,Cebu Technological University,,"35,926","39,398","41,395","12,836","13,424","13,963",
,Negros Oriental State University,,"23,887","26,411","25,804","4,811","5,293","6,824",
,Siquijor State College,,"1,263","1,472","1,773",477,346,269,
Eastern Visayas,Eastern Samar State University,,"11,989","13,068","13,866","2,684","3,291","3,593",
,Eastern Visayas State University,,"16,369","19,462","18,860","3,262","3,911","4,463",
,Leyte Normal University,,"4,937","5,951","6,499","1,272","1,607","1,854",
,Biliran Province State University,,"6,172","6,945","7,572","1,625","1,651","1,740",
,Northwest Samar State University,,"6,378","7,182","7,814","1,870","1,821","2,271",
,Palompon Institute of Technology,,"3,624","4,366","5,335",888,"1,032","1,014",
,Samar State University,,"6,071","6,518","6,882",748,"1,733","1,219",
,Southern Leyte State University,,"8,271","8,939","9,772","1,917","2,152","2,655",
,University of Eastern Philippines,,"12,035","12,635","7,291","2,541","2,746","1,812",
,Visayas State University,,"10,711","10,972","12,098","2,597","2,668","3,015",
Zamboanga Peninsula,Basilan State College,,"3,769","4,240","4,240","1,124","1,124","1,124",
,Jose Rizal Memorial State University,,"12,226","13,642","17,194","2,383","2,740","3,042",
,Josefina H. Cerilles State College,,"11,185","21,753","13,546","2,246","4,951","1,974",
,Western Mindanao State University,,"26,664","33,034","26,706","5,541","5,771","4,485",
,Zamboanga City State Polytechnic College,,"5,776","6,494","8,843","1,098","1,281","1,644",
,Zamboanga State College of Marine Sciences and Technology,,"4,454","4,530","4,530",772,777,777,
Northern Mindanao,Bukidnon State University,,"11,975","14,572","15,164","3,610","3,861","3,954",
,Camiguin Polytechnic State College,,"2,053","2,161","2,267",723,735,807,
,Central Mindanao University,,"7,480","7,930","9,367","2,051","2,021","2,059",
,Mindanao State University - Iligan Institute of Technology,,"10,274","8,514","9,025","2,420","2,496","3,063",
